(R) 1986 - QUARTAS-DE-FINAL - Argentina  x Inglaterra 
[COPA 1934] - Disp. 3°. Lugar - 7/6 - Alemanha (3) x (2) Áustria  - Nápoli
[COPA 1982] - GRUPO B - 21/6 - Áustria (2) x (0) Argélia  - Oviedo
[COPA 1978] - SEGUNDA FASE - GRUPO 2 - 14/6 - Brasil (3) x (0) Peru  - Mendoza
[COPA 1950] - FASE FINAL - 13/7 - Brasil (6) x (1) Espanha  - Rio de Janeiro
[COPA 2010] - GRUPO F - 20/6 - Eslováquia (0) x (2) Paraguai  - Bloemfontein
[COPA 2006] - OITAVAS-DE-FINAL - 25/6 - Inglaterra (1) x (0) Equador  - Stuttgart
[COPA 2002] - GRUPO C - 4/6 - Costa Rica (2) x (0) China  - Gwangju
[COPA 1950] - FASE FINAL - 13/7 - Uruguai (3) x (2) Suécia  - São Paulo
[COPA 2010] - GRUPO C - 13/6 - Argélia (0) x (1) Eslovênia  - Polokwane
[COPA 2006] - GRUPO H - 14/6 - Espanha (4) x (0) Ucrânia  - Leipzig
